num_authors,num_papers,pct_papers
1,160,1.22
2,417,3.17
3,954,7.25
4,1364,10.37
5,1600,12.16
6,1597,12.14
7,1425,10.83
8,1205,9.16
9,982,7.47
10,770,5.85
11,529,4.02
12,369,2.81
13,287,2.18
14,221,1.68
15,183,1.39
16,118,0.9
17,87,0.66
18,93,0.71
19,78,0.59
20,74,0.56
21,45,0.34
22,38,0.29
23,47,0.36
24,45,0.34
25,35,0.27
26,28,0.21
27,36,0.27
28,20,0.15
29,20,0.15
30,17,0.13
31,16,0.12
32,14,0.11
33,11,0.08
34,13,0.1
35,11,0.08
36,15,0.11
37,9,0.07
38,8,0.06
39,10,0.08
40,8,0.06
41,6,0.05
42,5,0.04
43,9,0.07
44,5,0.04
45,7,0.05
46,7,0.05
47,5,0.04
48,2,0.02
49,3,0.02
50,7,0.05
51,4,0.03
52,4,0.03
53,4,0.03
54,3,0.02
55,1,0.01
56,3,0.02
57,3,0.02
58,2,0.02
59,2,0.02
60,4,0.03
61,4,0.03
62,2,0.02
64,2,0.02
65,3,0.02
66,4,0.03
67,3,0.02
68,3,0.02
69,1,0.01
71,3,0.02
73,1,0.01
74,2,0.02
75,2,0.02
77,1,0.01
78,1,0.01
80,1,0.01
81,2,0.02
82,1,0.01
84,1,0.01
85,1,0.01
86,1,0.01
87,1,0.01
88,3,0.02
89,2,0.02
90,1,0.01
91,1,0.01
92,2,0.02
93,2,0.02
94,1,0.01
95,1,0.01
97,2,0.02
100,3,0.02
101,1,0.01
103,1,0.01
104,1,0.01
106,3,0.02
107,1,0.01
108,1,0.01
109,1,0.01
115,1,0.01
118,1,0.01
119,1,0.01
120,1,0.01
125,1,0.01
126,1,0.01
127,1,0.01
128,2,0.02
132,2,0.02
134,1,0.01
141,1,0.01
142,1,0.01
162,1,0.01
171,1,0.01
175,1,0.01
186,1,0.01
196,2,0.02
197,1,0.01
199,1,0.01
200,1,0.01
211,1,0.01
215,1,0.01
216,1,0.01
226,1,0.01
251,1,0.01
264,1,0.01
265,1,0.01
313,1,0.01
326,1,0.01
338,1,0.01
358,1,0.01
377,1,0.01
419,1,0.01
438,1,0.01
533,1,0.01
664,1,0.01
671,1,0.01
942,1,0.01
3303,1,0.01
