author_name,num_papers,total_upvotes,upvote_density
Ziwei Liu,123,4035,32.80487804878049
Yu Qiao,116,4781,41.21551724137931
Dahua Lin,111,4746,42.75675675675676
Fei Huang,90,3454,38.37777777777778
Hongsheng Li,86,2261,26.290697674418606
Kai Chen,86,3879,45.104651162790695
Ying Shan,81,1674,20.666666666666668
Jingren Zhou,76,4000,52.63157894736842
Furu Wei,75,3521,46.946666666666665
Caiming Xiong,74,1990,26.89189189189189
Yang Liu,73,1968,26.958904109589042
Ge Zhang,73,2693,36.89041095890411
Pengfei Wan,72,2314,32.138888888888886
Yejin Choi,72,2759,38.31944444444444
Jiaqi Wang,72,3375,46.875
Xintao Wang,69,2177,31.55072463768116
Conghui He,68,3425,50.36764705882353
Mike Zheng Shou,66,1850,28.03030303030303
Wenhu Chen,65,2260,34.76923076923077
Hao Zhang,63,2016,32.0
Zhiyuan Liu,62,1674,27.0
Ping Luo,61,2021,33.131147540983605
Mohit Bansal,60,710,11.833333333333334
Bo Li,57,2325,40.78947368421053
Hao Li,57,1872,32.8421052631579
Yu Wang,57,2154,37.78947368421053
Xihui Liu,57,1644,28.842105263157894
Qi Zhang,55,1442,26.21818181818182
Dong Yu,55,1679,30.527272727272727
Wei Li,55,2127,38.67272727272727
Junyang Lin,54,2840,52.592592592592595
Xipeng Qiu,53,1694,31.962264150943398
Wanli Ouyang,53,2234,42.15094339622642
Jian Yang,53,1951,36.81132075471698
Tianyi Zhou,53,1655,31.22641509433962
Di Zhang,53,1714,32.339622641509436
Lei Zhang,52,1538,29.576923076923077
Jie Zhou,52,1807,34.75
Yuhang Zang,52,2466,47.42307692307692
Jan Kautz,51,2550,50.0
Yu Cheng,51,1956,38.35294117647059
Sergey Tulyakov,51,804,15.764705882352942
Jianfeng Gao,49,1309,26.714285714285715
Xinchao Wang,49,1098,22.408163265306122
Franck Dernoncourt,49,694,14.16326530612245
Kaipeng Zhang,49,1860,37.95918367346939
Wentao Zhang,48,1820,37.916666666666664
Jiaheng Liu,48,1807,37.645833333333336
Ranjay Krishna,48,1174,24.458333333333332
Ningyu Zhang,48,1320,27.5
