affiliation,num_papers,total_upvotes,upvote_density
Tsinghua University,541,54306,100.38077634011091
Stanford University,389,27674,71.1413881748072
Google DeepMind,343,55023,160.41690962099125
Zhejiang University,332,25901,78.01506024096386
Peking University,325,25060,77.1076923076923
National University of Singapore,305,19474,63.84918032786885
Carnegie Mellon University,285,15280,53.6140350877193
Shanghai AI Laboratory,280,56544,201.94285714285715
NVIDIA,269,47598,176.9442379182156
The University of Hong Kong,257,20785,80.87548638132296
The Chinese University of Hong Kong,250,12214,48.856
Shanghai Jiao Tong University,236,15126,64.09322033898304
UC Berkeley,216,16194,74.97222222222223
University of Washington,216,13173,60.986111111111114
Fudan University,211,19597,92.87677725118483
Microsoft Research,207,40717,196.70048309178745
Google Research,201,16340,81.29353233830845
University of Illinois Urbana-Champaign,178,17022,95.62921348314607
Nanyang Technological University,174,11559,66.43103448275862
Microsoft,172,22934,133.3372093023256
Adobe Research,166,10965,66.05421686746988
Shanghai Artificial Intelligence Laboratory,162,40028,247.08641975308643
Alibaba Group,155,19878,128.24516129032259
Google,152,13718,90.25
ByteDance Seed,151,29206,193.41721854304635
HKUST,147,6781,46.12925170068027
University of Science and Technology of China,146,9629,65.95205479452055
Princeton University,137,6207,45.306569343065696
MIT,134,6493,48.45522388059702
ByteDance,133,18077,135.91729323308272
University of Oxford,132,7121,53.946969696969695
Nanjing University,132,8306,62.92424242424242
KAIST,129,8910,69.06976744186046
Apple,128,25377,198.2578125
New York University,123,8235,66.95121951219512
Meta AI,119,11375,95.58823529411765
"University of California, Berkeley",117,7019,59.99145299145299
Independent Researcher,109,3487,31.990825688073393
University of Southern California,109,6940,63.669724770642205
Johns Hopkins University,102,8800,86.27450980392157
Ant Group,100,16544,165.44
"University of California, Los Angeles",100,5574,55.74
University of Waterloo,98,7531,76.84693877551021
Microsoft Research Asia,97,8832,91.05154639175258
Harvard University,93,2224,23.913978494623656
Meta,90,11231,124.78888888888889
The Hong Kong University of Science and Technology,90,7090,78.77777777777777
Hong Kong University of Science and Technology,89,5444,61.168539325842694
"University of Maryland, College Park",87,6989,80.33333333333333
"S-Lab, Nanyang Technological University",86,7698,89.51162790697674
