author_name,num_papers,total_upvotes,upvote_density
Ziwei Liu,76,2110,27.763157894736842
Furu Wei,61,3215,52.704918032786885
Mike Zheng Shou,54,1573,29.12962962962963
Xinchao Wang,48,1079,22.479166666666668
Dong Yu,47,1427,30.361702127659573
Hongsheng Li,46,1215,26.41304347826087
Kai Chen,44,1363,30.977272727272727
Jingren Zhou,42,1670,39.76190476190476
Maosong Sun,40,917,22.925
Wenhu Chen,40,1411,35.275
Jiaqi Wang,40,2046,51.15
Xihui Liu,38,1019,26.81578947368421
Ying Shan,37,811,21.91891891891892
Min Zhang,34,1149,33.794117647058826
Mohit Bansal,33,258,7.818181818181818
Xipeng Qiu,33,1271,38.515151515151516
Zhicheng Dou,30,1275,42.5
Tianyi Zhou,30,880,29.333333333333332
Ping Luo,29,836,28.82758620689655
Pengfei Liu,29,1001,34.51724137931034
Juanzi Li,28,808,28.857142857142858
Hengshuang Zhao,25,1022,40.88
Lidong Bing,25,1305,52.2
Yu Cheng,25,907,36.28
Sung Ju Hwang,25,1218,48.72
,25,1713,68.52
Xiangyu Yue,24,684,28.5
Li Yuan,24,862,35.916666666666664
Junyang Lin,24,1581,65.875
Jun Zhu,24,676,28.166666666666668
Yi Yang,24,474,19.75
Yu Wang,23,819,35.608695652173914
Ji-Rong Wen,23,800,34.78260869565217
Xin Eric Wang,23,311,13.521739130434783
Yu-Lun Liu,23,894,38.869565217391305
Jiangmiao Pang,22,537,24.40909090909091
Yejin Choi,22,654,29.727272727272727
Ningyu Zhang,21,557,26.523809523809526
Jie Tang,21,534,25.428571428571427
Arman Cohan,21,368,17.523809523809526
Limin Wang,21,462,22.0
Ranjay Krishna,20,425,21.25
Chen Change Loy,20,562,28.1
Benyou Wang,20,792,39.6
Xinggang Wang,20,544,27.2
Yu-Gang Jiang,20,567,28.35
Soujanya Poria,20,270,13.5
Jie Zhou,19,750,39.473684210526315
Song Han,19,571,30.05263157894737
Bowen Zhou,19,1041,54.78947368421053
