institution_1,institution_2,num_papers
peking university,tsinghua university,66
google deepmind,google research,62
shanghai ai laboratory,the chinese university of hong kong,46
shanghai jiao tong university,tsinghua university,41
shanghai ai laboratory,the university of hong kong,37
tsinghua university,zhejiang university,37
nanyang technological university,national university of singapore,37
stanford university,university of washington,34
national university of singapore,zhejiang university,34
the university of hong kong,tsinghua university,33
google,google deepmind,31
shanghai ai laboratory,shanghai jiao tong university; shanghai ai laboratory,31
the chinese university of hong kong,tsinghua university,30
shanghai ai laboratory,shanghai ai laboratory; shanghai jiao tong university,30
allen institute for ai,allen institute for ai; university of washington,29
allen institute for ai,university of washington,28
stanford university,uc berkeley,28
the chinese university of hong kong,the university of hong kong,28
shanghai artificial intelligence laboratory,shanghai artificial intelligence laboratory; the chinese university of hong kong,28
shanghai ai laboratory,shanghai ai laboratory; the chinese university of hong kong,28
shanghai ai laboratory,shanghai jiao tong university,28
shanghai ai laboratory,the chinese university of hong kong; shanghai ai laboratory,27
nanjing university,shanghai ai laboratory,26
shanghai ai laboratory,tsinghua university,25
mit,nvidia,25
peking university,shanghai ai laboratory,25
google deepmind,stanford university,24
peking university,zhejiang university,24
microsoft research,tsinghua university,24
carnegie mellon university,stanford university,24
alibaba group,zhejiang university,24
shanghai artificial intelligence laboratory,shanghai artificial intelligence laboratory; fudan university,24
fudan university,fudan university; shanghai innovation institute,24
shanghai artificial intelligence laboratory,shanghai artificial intelligence laboratory; shanghai jiao tong university,23
fudan university; shanghai ai laboratory,shanghai ai laboratory,23
shanghai jiao tong university,zhejiang university,22
cuhk,hkust,22
ant group,zhejiang university,22
hkust(gz),hkust(gz); hkust,22
nanyang technological university,tsinghua university,22
fudan university,shanghai artificial intelligence laboratory,22
shanghai ai laboratory,shanghai ai laboratory; shanghai innovation institute,22
harvard university,stanford university,21
shanghai artificial intelligence laboratory,the chinese university of hong kong,21
university of washington,university of washington; allen institute for ai,21
princeton university,stanford university,21
shanghai jiao tong university,the chinese university of hong kong,21
carnegie mellon university,uc berkeley,20
shanghai ai laboratory,tsinghua university; shanghai ai laboratory,20
nvidia,uc berkeley,20
fudan university,shanghai jiao tong university,20
bytedance,zhejiang university,19
tsinghua university,zhipu ai,19
national university of singapore,tsinghua university,19
fudan university,zhejiang university,19
tsinghua university,university of illinois urbana-champaign,19
kaist,kaist; deepauto.ai,19
nanjing university,peking university,18
national university of singapore,the chinese university of hong kong,18
google deepmind,uc berkeley,18
stanford university,university of southern california,18
renmin university of china,tsinghua university,18
tencent,tsinghua university,18
nanyang technological university,zhejiang university,18
carnegie mellon university,university of washington,17
national university of singapore,sea ai lab,17
the chinese university of hong kong,zhejiang university,17
hkust,tsinghua university,17
nvidia,nvidia; mit,17
westlake university,zhejiang university; westlake university,17
national university of singapore,peking university,17
fudan university,shanghai ai laboratory,17
peking university,the chinese university of hong kong,17
fudan university; shanghai artificial intelligence laboratory,shanghai artificial intelligence laboratory,17
"damo academy, alibaba group","damo academy, alibaba group; hupan lab",17
tsinghua university,university of science and technology of china,16
mit,stanford university,16
shanghai artificial intelligence laboratory,the university of hong kong,16
"s-lab, nanyang technological university",sensetime research,16
carnegie mellon university,princeton university,16
shanghai ai laboratory,shanghai ai laboratory; tsinghua university,16
shanghai ai laboratory,university of science and technology of china; shanghai ai laboratory,16
fudan university,the chinese university of hong kong,16
fudan university,tsinghua university,16
microsoft research asia,university of science and technology of china,15
bytedance,peking university,15
mit,uc berkeley,15
uc berkeley,uc san diego,15
national university of singapore,xi’an jiaotong university,15
the chinese university of hong kong,the chinese university of hong kong; shanghai ai laboratory,15
"s-lab, nanyang technological university",shanghai artificial intelligence laboratory,15
nanyang technological university,shanghai jiao tong university,15
peking university,shanghai jiao tong university,15
princeton university,university of illinois urbana-champaign,15
fudan university,the university of hong kong,15
national university of singapore,university of science and technology of china,15
tsinghua university,tsinghua university; shanghai ai laboratory,15
fudan university,nanyang technological university,15
carnegie mellon university,nvidia,14
carnegie mellon university,university of waterloo,14
