affiliation,num_unique_authors
Google DeepMind,1188
Tsinghua University,735
Google Research,621
Stanford University,563
NVIDIA,539
Google,534
Zhejiang University,479
Microsoft,437
Shanghai AI Laboratory,431
Peking University,390
Carnegie Mellon University,390
Apple,390
Alibaba Group,381
ByteDance,375
Microsoft Research,374
ByteDance Seed,367
Shanghai Artificial Intelligence Laboratory,355
Meta,340
Meta AI,316
UC Berkeley,305
Fudan University,302
Shanghai Jiao Tong University,292
Ant Group,282
National University of Singapore,275
University of Illinois Urbana-Champaign,262
University of Washington,252
"Tongyi Lab, Alibaba Group",247
The University of Hong Kong,245
Meta Superintelligence Labs,231
FAIR at Meta,215
"University of California, Berkeley",210
The Chinese University of Hong Kong,203
KAIST,202
Amazon,191
Adobe Research,190
Huawei Noah’s Ark Lab,188
University of Science and Technology of China,187
Allen Institute for AI,182
"GenAI, Meta",177
Nanyang Technological University,172
Nanjing University,166
MIT,166
New York University,164
The Hong Kong University of Science and Technology,162
IBM Research,158
Princeton University,150
Microsoft Research Asia,150
"University of Maryland, College Park",149
Independent Researcher,149
Tencent,148
Tencent Hunyuan,145
"Qwen Team, Alibaba Group",141
HKUST,141
MBZUAI,141
Meta Reality Labs,141
"University of California, Los Angeles",139
Microsoft Corporation,139
"DAMO Academy, Alibaba Group",134
University of Southern California,133
University of Maryland,132
Meta FAIR,129
SenseTime Research,127
DeepSeek-AI,127
ETH Zurich,126
Massachusetts Institute of Technology,126
UC San Diego,125
ByteDance Inc.,121
Tencent AI Lab,118
Shanghai AI Lab,118
Johns Hopkins University,116
Northeastern University,116
Hong Kong University of Science and Technology,115
"The Chinese University of Hong Kong, Shenzhen",114
AWS AI Labs,113
Meituan,110
University of Oxford,107
Anthropic,107
Salesforce AI Research,106
Independent,103
Beihang University,103
The University of Texas at Austin,101
Shanghai AI Laboratory; SenseTime Group; The Chinese University of Hong Kong; Fudan University,100
Kuaishou Technology,99
Harvard University,98
CUHK,98
The Hong Kong University of Science and Technology (Guangzhou),97
University of Waterloo,96
Huazhong University of Science and Technology,95
"Gaoling School of Artificial Intelligence, Renmin University of China",93
Cornell University,93
MIT CSAIL,91
University of Cambridge,90
competition participants,90
"EmbeddingGemma Team, Google",89
"Tsinghua University, Beijing, China",88
University of Wisconsin-Madison,88
"University of California, San Diego",87
StepFun,87
Renmin University of China,87
Columbia University,87
