affiliation,num_papers,num_authors,is_chinese_affiliation
Tsinghua University,541,735,True
Stanford University,389,563,False
Google DeepMind,343,1188,False
Zhejiang University,332,479,True
Peking University,325,390,True
National University of Singapore,305,275,False
Carnegie Mellon University,285,390,False
Shanghai AI Laboratory,280,431,True
NVIDIA,269,539,False
The University of Hong Kong,257,245,False
The Chinese University of Hong Kong,250,203,True
Shanghai Jiao Tong University,236,292,True
UC Berkeley,216,305,False
University of Washington,216,252,False
Fudan University,211,302,True
Microsoft Research,207,374,False
Google Research,201,621,False
University of Illinois Urbana-Champaign,178,262,False
Nanyang Technological University,174,172,False
Microsoft,172,437,False
Adobe Research,166,190,False
Shanghai Artificial Intelligence Laboratory,162,355,True
Alibaba Group,155,381,True
Google,152,534,False
ByteDance Seed,151,367,True
HKUST,147,141,False
University of Science and Technology of China,146,187,True
Princeton University,137,150,False
MIT,134,166,False
ByteDance,133,375,True
University of Oxford,132,107,False
Nanjing University,132,166,True
KAIST,129,202,False
Apple,128,390,False
New York University,123,164,False
Meta AI,119,316,False
"University of California, Berkeley",117,210,False
Independent Researcher,109,149,False
University of Southern California,109,133,False
Johns Hopkins University,102,116,False
Ant Group,100,282,False
"University of California, Los Angeles",100,139,False
University of Waterloo,98,96,False
Microsoft Research Asia,97,150,False
Harvard University,93,98,False
Meta,90,340,False
The Hong Kong University of Science and Technology,90,162,False
Hong Kong University of Science and Technology,89,115,False
"University of Maryland, College Park",87,149,False
"S-Lab, Nanyang Technological University",86,73,False
University of Maryland,85,132,False
Tencent AI Lab,84,118,True
Yale University,82,78,False
Huawei Noah’s Ark Lab,82,188,True
MBZUAI,80,141,False
ETH Zurich,79,126,False
CUHK,78,98,False
"Tongyi Lab, Alibaba Group",78,247,True
Massachusetts Institute of Technology,76,126,False
Westlake University,75,78,False
UC San Diego,75,125,False
Beihang University,74,103,True
Shanghai AI Lab,74,118,True
Salesforce AI Research,72,106,False
Columbia University,72,87,False
FAIR at Meta,70,215,False
Cornell University,69,93,False
"The Chinese University of Hong Kong, Shenzhen",69,114,True
Amazon,68,191,False
Tencent,68,148,True
University of Cambridge,68,90,False
Renmin University of China,67,87,True
Northeastern University,67,116,False
University of Michigan,66,86,False
University of Toronto,63,60,False
Allen Institute for AI,62,182,False
MIT CSAIL,61,91,False
"Gaoling School of Artificial Intelligence, Renmin University of China",61,93,True
Georgia Institute of Technology,61,84,False
The Hong Kong Polytechnic University,60,63,False
University of Pennsylvania,60,72,False
"University of California, San Diego",60,87,False
Huazhong University of Science and Technology,59,95,True
Sun Yat-sen University,58,86,True
University of Edinburgh,58,52,False
Kuaishou Technology,57,99,False
"ARC Lab, Tencent PCG",57,31,True
SenseTime Research,56,127,True
The University of Texas at Austin,55,101,False
"Show Lab, National University of Singapore",54,56,False
The Hong Kong University of Science and Technology (Guangzhou),54,97,True
Imperial College London,53,59,False
UIUC,51,71,False
University of Wisconsin-Madison,51,88,False
City University of Hong Kong,49,58,False
UCLA,49,59,False
KAIST AI,49,84,False
HKUST(GZ),48,78,False
UNC Chapel Hill,48,35,False
Tencent Hunyuan,48,145,True
Independent,46,103,False
Hugging Face,46,84,False
University of Chinese Academy of Sciences,46,67,True
Virginia Tech,45,66,False
University of Rochester,45,35,False
ETH Zürich,45,66,False
University College London,45,55,False
HKU,44,44,False
"Institute of Automation, Chinese Academy of Sciences",44,51,True
"Kling Team, Kuaishou Technology",44,61,False
Harbin Institute of Technology,44,66,True
Xi’an Jiaotong University,44,70,False
Tel Aviv University,44,50,False
"DAMO Academy, Alibaba Group",44,134,True
StepFun,43,87,False
Singapore University of Technology and Design,43,45,False
Wuhan University,43,61,True
Brown University,43,58,False
Beijing Academy of Artificial Intelligence,42,71,True
Seoul National University,42,53,False
Microsoft Corporation,42,139,False
Snap Inc.,42,60,False
Yonsei University,42,84,False
Fudan University; Shanghai Innovation Institute,42,38,True
University of Chicago,42,44,False
CUHK MMLab,42,35,False
South China University of Technology,41,49,True
Duke University,41,48,False
UT Austin,40,53,False
The Ohio State University,40,55,False
ByteDance Inc.,39,121,True
Northwestern University,39,51,False
CMU,39,62,False
Meta FAIR,38,129,False
NUS,38,62,False
University of Texas at Austin,37,46,False
University of British Columbia,37,27,False
Purdue University,37,56,False
Texas A&M University,37,31,False
University of Notre Dame,36,55,False
"University of California, Santa Cruz",36,45,False
Beijing University of Posts and Telecommunications,36,70,True
UC Santa Cruz,36,39,False
Shanghai Innovation Institute,36,31,True
Meta Superintelligence Labs,35,231,False
Meituan,35,110,False
Rutgers University,35,54,False
"University of California, Santa Barbara",35,41,False
University of Virginia,35,38,False
CASIA,34,40,True
"Nanyang Technological University, Singapore",34,59,False
Monash University,34,41,False
Sea AI Lab,34,15,False
M-A-P,34,66,False
Korea University,33,48,False
Cohere,32,73,False
Stanford,32,57,False
EPFL,32,55,False
OpenAI,32,67,False
Shanghai Jiao Tong University; Shanghai AI Laboratory,32,35,True
IBM Research,31,158,False
Shanghai AI Laboratory; The Chinese University of Hong Kong,31,17,True
Georgia Tech,31,53,False
Stony Brook University,31,31,False
KAUST,30,32,False
Allen Institute for AI; University of Washington,30,44,False
The Chinese University of Hong Kong; Shanghai AI Laboratory,30,19,True
Xiaohongshu Inc.,30,59,False
Anthropic,30,107,False
The University of Tokyo,30,44,False
ShanghaiTech University,30,44,True
Shanghai Artificial Intelligence Laboratory; The Chinese University of Hong Kong,30,24,True
Shanghai AI Laboratory; Shanghai Jiao Tong University,30,36,True
Tongji University,30,41,True
University of Illinois at Urbana-Champaign,29,70,False
East China Normal University,29,46,True
Technical University of Munich,29,41,False
Qualcomm AI Research,29,86,False
Allen Institute for Artificial Intelligence,28,68,False
University of Wisconsin–Madison,28,39,False
University of Electronic Science and Technology of China,28,37,True
National Yang Ming Chiao Tung University,27,45,False
Singapore Management University,27,32,False
"DAMO Academy, Alibaba Group; Hupan Lab",27,46,True
Soochow University,27,29,False
Stability AI,27,45,False
USTC,27,48,True
MIT-IBM Watson AI Lab,27,21,False
University of North Carolina at Chapel Hill,26,41,False
NTU,26,30,False
University of California San Diego,26,35,False
"Tsinghua University, Beijing, China",26,88,True
Salesforce Research,26,46,False
Adobe,26,53,False
"GenAI, Meta",26,177,False
Toyota Research Institute,26,33,False
Xiamen University,26,36,True
"FAIR, Meta",26,64,False
SJTU,26,30,True
University of Amsterdam,26,37,False
Meta Reality Labs,26,141,False
University of Toronto; Vector Institute,26,28,False
"Qwen Team, Alibaba Group",25,141,True
University of Washington; Allen Institute for AI,25,16,False
Lehigh University,25,20,False
Tsinghua University; Shanghai AI Laboratory,25,20,True
Zhipu AI,25,48,False
AWS AI Labs,24,113,False
University of Hong Kong,24,33,False
Arizona State University,24,40,False
Dalian University of Technology,24,28,False
Shanghai Artificial Intelligence Laboratory; Fudan University,24,28,True
PKU,24,68,True
THU,24,26,False
Fudan University; Shanghai AI Laboratory,24,16,True
Nankai University,24,25,True
Shanghai Artificial Intelligence Laboratory; Shanghai Jiao Tong University,23,28,True
Tencent Youtu Lab,23,37,True
University of Massachusetts Amherst,23,46,False
Rice University,23,23,False
HKUST(GZ); HKUST,23,12,False
Shanghai AI Laboratory; Shanghai Innovation Institute,23,8,True
"School of Computer Science, Peking University",23,42,True
Mohamed bin Zayed University of Artificial Intelligence,22,40,False
Southern University of Science and Technology,22,22,False
UCSD,22,34,False
NVIDIA Research,22,35,False
Simon Fraser University,22,30,False
National Taiwan University,22,46,False
NYU,22,26,False
ServiceNow Research,22,23,False
UC Santa Barbara,22,28,False
Beijing Jiaotong University,22,29,True
Beijing Institute of Technology,22,28,True
NJU,22,19,False
Boston University,21,41,False
Southeast University,21,25,True
Shanghai Jiaotong University,21,25,True
BAAI,20,32,False
Central South University,20,18,False
UCAS,20,31,False
DeepSeek-AI,20,127,False
"Visual Geometry Group, University of Oxford",20,18,False
Baidu Inc.,20,54,True
Washington University in St. Louis,20,19,False
University of Trento,20,20,False
KAIST; DeepAuto.ai,20,4,False
"Department of Computer Science, Stanford University",20,43,False
Intel Labs,19,43,False
"AMAP, Alibaba Group",19,38,True
"State Key Laboratory of Multimedia Information Processing, School of Computer Science, Peking University",19,45,True
Google Cloud AI Research,19,36,False
University of Central Florida,19,22,False
The University of Sydney,19,24,False
University of Illinois Chicago,19,18,False
UMass Amherst,19,19,False
"State Key Laboratory of General Artificial Intelligence, BIGAI",18,25,False
"Harbin Institute of Technology, Shenzhen",18,52,True
UNC-Chapel Hill,18,23,False
Google Deepmind,18,71,False
"Department of Computer Science and Technology, Tsinghua University",18,52,True
Zhejiang University; Westlake University,18,17,True
"University of California, Merced",18,5,False
"Microsoft Research, Redmond",18,29,False
Sapienza University of Rome,18,25,False
"National University of Singapore, Singapore",18,27,False
"Zhejiang University, China",18,40,True
Shanghai AI Laboratory; Tsinghua University,17,14,True
Hong Kong University of Science and Technology (Guangzhou),17,25,True
NVIDIA; MIT,17,7,False
LG AI Research,17,24,False
"Zhejiang University, Hangzhou, China",17,63,True
University of Surrey,17,15,False
Hong Kong Baptist University,17,16,False
Hong Kong Polytechnic University,17,19,False
Fudan University; Shanghai Artificial Intelligence Laboratory,17,21,True
"MMLab, CUHK",16,20,False
Emory University,16,16,False
USC,16,29,False
EleutherAI,16,31,False
Dartmouth College,16,12,False
University of Waterloo; Vector Institute,16,9,False
The Hebrew University of Jerusalem,16,18,False
University of Washington; Allen Institute for Artificial Intelligence,16,20,False
University of Science and Technology of China; Shanghai AI Laboratory,16,14,True
"Tsinghua University, China",16,28,True
California Institute of Technology,16,19,False
"OpenGVLab, Shanghai AI Laboratory",16,31,True
University of Copenhagen,15,21,False
"Department of Automation, Tsinghua University",15,36,True
Shanghai Jiao Tong University; Shanghai Artificial Intelligence Laboratory,15,19,True
Sungkyunkwan University,15,22,False
AIRI; Skoltech,15,14,False
POSTECH,15,16,False
The Chinese University of Hong Kong; Shanghai Artificial Intelligence Laboratory,15,13,True
University of Manchester,15,15,False
"Shanghai Jiao Tong University, Shanghai, China",15,35,True
University of Oregon,15,10,False
University of Macau,15,14,False
University of Technology Sydney,15,16,False
Baichuan Inc.,15,86,False
International Digital Economy Academy (IDEA),15,32,False
Shandong University,14,18,False
University at Buffalo,14,16,False
Australian National University,14,20,False
"Sea AI Lab, Singapore",14,7,False
The University of Manchester,14,17,False
ZJU,14,24,False
BUPT,14,27,False
Toyota Technological Institute at Chicago,14,16,False
Nanjing University; Shanghai AI Laboratory,14,13,True
Bar-Ilan University,14,21,False
University of Georgia,14,20,False
Shenzhen University,14,12,True
Nanjing University of Science and Technology,14,23,True
GigaAI,14,42,False
Huawei,14,56,True
KRAFTON,14,19,False
Skywork AI,14,43,False
Cisco Research,14,7,False
Sun Yat-Sen University,13,17,True
Tianjin University,13,28,True
The Pennsylvania State University,13,28,False
The Hong Kong University of Science and Technology (Guangzhou); The Hong Kong University of Science and Technology,13,14,True
ServiceNow,13,50,False
Westlake University; Zhejiang University,13,16,True
Sichuan University,13,22,True
"University of Science and Technology of China, Hefei, China",13,32,True
VAST,13,10,False
University of Minnesota,13,18,False
Tongyi Lab,13,32,False
"Peking University, China",13,23,True
Bytedance,13,26,True
ByteDance Research,13,52,True
University of Sydney,13,19,False
The Australian National University,13,11,False
The University of Edinburgh,13,13,False
University of Tübingen,13,17,False
"MMLab, The Chinese University of Hong Kong",13,14,True
"S-Lab, NTU",13,17,False
Shanghai Artificial Intelligence Laboratory; Tsinghua University,13,13,True
Contextual AI,13,7,False
MIT; NVIDIA,13,2,False
"University of California, Davis",13,11,False
Queen Mary University of London,13,14,False
UW-Madison,13,13,False
NVIDIA; University of Toronto; Vector Institute,12,16,False
Michigan State University,12,16,False
Snap Research,12,20,False
Scale AI,12,86,False
DeepWisdom,12,16,False
Chinese University of Hong Kong,12,16,True
"Wangxuan Institute of Computer Technology, Peking University",12,12,True
Amazon Web Services,12,46,False
Pennsylvania State University,12,22,False
Meta GenAI,12,64,False
Stevens Institute of Technology,12,15,False
University of New South Wales,12,9,False
"College of Computer Science and Technology, Zhejiang University",12,31,True
UC Davis,12,10,False
Shanghai AI Laboratory; Zhejiang University,12,9,True
Shanghai AI Laboratory; Nanjing University,12,13,True
"Shanghai Jiao Tong University, China",12,30,True
Shanghai AI Laboratory; Fudan University,12,12,True
"Tsinghua Shenzhen International Graduate School, Tsinghua University",12,34,True
"Gaoling School of Artificial Intelligence, Renmin University of China, Beijing, China",12,31,True
NVIDIA; Stanford University,12,7,False
Max Planck Institute for Intelligent Systems,12,12,False
"Shenzhen International Graduate School, Tsinghua University",12,21,True
RUC,11,11,False
Allen Institute for Artificial Intelligence; University of Washington,11,14,False
Huawei Inc.,11,23,True
Cohere Labs,11,20,False
Beijing Normal University,11,13,True
"Institute of Computing Technology, Chinese Academy of Sciences",11,22,True
Northwestern Polytechnical University,11,24,False
University of Arizona,11,8,False
"VCIP, CS, Nankai University",11,18,True
Shanghai Jiao Tong University; Generative AI Research Lab (GAIR),11,20,True
vivo AI Lab,11,31,True
Yandex Research,11,7,False
NAVER AI Lab,11,8,False
Institute of Science Tokyo,11,18,False
Intel,11,32,False
University of Liverpool,11,10,False
University of Texas at Dallas,11,15,False
Alibaba,11,38,True
University of Zurich,11,17,False
TikTok,11,14,False
Google Cloud,11,33,False
"Qwen Team, Alibaba Inc.",11,38,True
FDU,11,15,False
"School of Computer Science, Fudan University",11,43,True
LMU Munich,11,18,False
Chongqing University,11,15,False
King Abdullah University of Science and Technology (KAUST),11,15,False
"University of California, Irvine",11,19,False
"Stanford University, USA",11,23,False
Sony AI,11,19,False
Mila,11,13,False
Harbin Institute of Technology (Shenzhen),11,12,True
T-Tech,11,15,False
"Chinese Information Processing Laboratory, Institute of Software, Chinese Academy of Sciences",11,14,True
"S-Lab, Nanyang Technological University, Singapore",11,36,False
Tel-Aviv University,11,11,False
Tsinghua University; Shanghai Artificial Intelligence Laboratory,11,7,True
HUST,11,10,False
Zhejiang University; Shanghai AI Laboratory,10,8,True
Skoltech; AIRI,10,3,False
Harvard,10,7,False
Huawei Cloud,10,31,True
Alibaba Cloud Computing,10,39,True
Technion,10,13,False
Amazon AGI,10,44,False
McGill University,10,12,False
Mohamed bin Zayed University of AI; Linköping University,10,3,False
Capital One,10,9,False
Mohamed bin Zayed University of AI,10,57,False
Sensetime Research,10,16,True
William & Mary,10,12,False
"State Key Laboratory for Novel Software Technology, Nanjing University",10,20,True
HKUST (GZ),10,23,False
Mohamed bin Zayed University of AI; Australian National University,10,1,False
King Abdullah University of Science and Technology,10,26,False
Technion – Israel Institute of Technology,10,22,False
Horizon Robotics,10,15,False
"Chinese Information Processing Laboratory, Institute of Software, Chinese Academy of Sciences; University of Chinese Academy of Sciences",10,12,True
"Intelligent Creation Lab, ByteDance",10,42,True
"IIIS, Tsinghua University",10,15,True
King’s College London,10,16,False
Auburn University,10,8,False
Shanghai AI Laboratory; Shanghai Jiaotong University,10,11,True
Cohere For AI,10,15,False
Lawrence Livermore National Laboratory,10,10,False
"National Key Laboratory for Novel Software Technology, Nanjing University",10,28,True
Bytedance Seed,10,34,True
Ohio State University,10,9,False
"Imperial College London, UK",10,20,False
NAVER Cloud,10,21,False
HKUST; Ant Group,10,8,False
"Institute of Automation, Chinese Academy of Sciences; School of Artificial Intelligence, University of Chinese Academy of Sciences",10,23,True
Illinois Institute of Technology,10,8,False
"Beijing University of Posts and Telecommunications, Beijing, China",9,35,True
Stanford University; Google DeepMind,9,7,False
"Carnegie Mellon University, USA",9,25,False
"Multimedia Laboratory (MMLab), The Chinese University of Hong Kong",9,18,True
Adobe Inc.,9,14,False
NVIDIA; UC Berkeley,9,10,False
Shanghai Innovation Institute; Fudan University,9,13,True
BUAA,9,14,False
Sony Group Corporation,9,12,False
"Harbin Institute of Technology, Shenzhen, China",9,17,True
AMD,9,23,False
OPPO,9,13,True
PolyU,9,7,False
"Institute for AI Industry Research (AIR), Tsinghua University",9,14,True
"Shanghai Artificial Intelligence Laboratory, Shanghai, China",9,26,True
Zhongguancun Academy,9,20,False
Center for AI Safety,9,23,False
DP Technology,9,30,False
"Tel Aviv University, Israel",9,17,False
"Meta AI, USA",9,18,False
"LLM Department, Tencent",9,34,True
Zhejiang University; Ant Group,9,7,True
Ant Group; Zhejiang University - Ant Group Joint Laboratory of Knowledge Graph,9,8,True
IBM Research AI,9,42,False
Shanghai Innovation Institute; Shanghai AI Lab,9,3,True
Technion - Israel Institute of Technology,9,21,False
DeepGlint,9,9,False
"Department of Electronic Engineering, Tsinghua University",9,19,True
ByteDance Intelligent Creation,9,51,True
"Renmin University of China, Beijing, China",9,25,True
University of Alberta,9,11,False
AgiBot,9,15,False
Apple Inc.,9,63,False
"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences",9,11,True
"Shanghai Artificial Intelligence Laboratory, China",9,20,True
"National University of Singapore, NUS-NCS Joint Lab, Singapore",9,4,False
Moonshot AI,9,50,False
Microsoft Research; Tsinghua University,9,6,True
Zhejiang University; Shanghai Artificial Intelligence Laboratory,9,8,True
"Department of Computer Science and Technology, Tsinghua University, Beijing, China",9,22,True
Fondazione Bruno Kessler,8,14,False
"Language Technologies Institute, Carnegie Mellon University",8,13,False
Together AI,8,20,False
DisneyResearch|Studios,8,10,False
ANU,8,8,False
UC Merced,8,4,False
Vanderbilt University,8,14,False
"The University of Hong Kong, China",8,10,True
"Institute of Information Engineering, Chinese Academy of Sciences; School of Cyber Security, University of Chinese Academy of Sciences",8,21,True
"Department of Computer Science, Princeton University",8,10,False
Tencent PCG,8,21,True
"WeChat Vision, Tencent Inc.",8,14,True
"London Institute for Mathematical Sciences, London, UK",8,1,False
Shanghai AI Laboratory; Peking University,8,6,True
University of Science and Technology of China; Shanghai Artificial Intelligence Laboratory,8,8,True
OPPO Research Institute,8,33,True
"Fondazione Bruno Kessler, Italy",8,12,False
OPPO AI Agent Team,8,5,True
Zhejiang University; Zhejiang University - Ant Group Joint Laboratory of Knowledge Graph,8,11,True
"Singapore University of Technology and Design, Singapore",8,18,False
Caltech,8,9,False
Sakana AI,8,9,False
"Paul G. Allen School of Computer Science & Engineering, University of Washington",8,20,False
"University of Michigan, Ann Arbor",8,8,False
ByteDance Seed; Peking University,8,7,True
Amazon GenAI,8,2,False
"Baidu Inc., Beijing, China",8,24,True
Tsinghua University; Shanghai Qi Zhi Institute,8,11,True
The Fin AI,8,19,False
MiniMax,8,29,False
Chinese Academy of Sciences,8,9,True
Shanghai Artificial Intelligence Laboratory; Shanghai Innovation Institute,8,7,True
"University of Washington, Seattle, WA, USA",8,11,False
"Tencent AI Lab; ARC Lab, Tencent PCG",8,4,True
Meta AI Research,8,40,False
MiroMind AI,8,20,False
"Fudan University, Shanghai, China",8,18,True
"School of Artificial Intelligence, Shanghai Jiao Tong University",8,38,True
JHU,8,26,False
"Alibaba Group, Hangzhou, China",8,27,True
Sea AI Lab; National University of Singapore,8,5,False
"Tencent AI Lab, China",8,22,True
ModelBest Inc.,8,22,False
"Adobe Research, USA",8,14,False
Meta Reality Labs Research,8,37,False
"School of EIC, Huazhong University of Science & Technology",8,11,True
"Department of Computer Science, University of Maryland, College Park",7,16,False
"DAMO Academy, Alibaba Group; Hupan Lab; Zhejiang University",7,7,True
Menlo Research,7,8,False
Shanghai Artificial Intelligence Laboratory; University of Science and Technology of China,7,10,True
Snowflake AI Research,7,9,False
"Peking University, Beijing, China",7,15,True
"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences; University of Chinese Academy of Sciences",7,16,True
Mila - Quebec AI Institute; Université de Montréal,7,8,False
"MAIS, Institute of Automation, Chinese Academy of Sciences",7,8,True
"National Taiwan University, Taipei, Taiwan",7,24,False
"Institute of Automation, CAS",7,7,False
"Kolors Team, Kuaishou Technology",7,10,False
"Hunyuan, Tencent",7,21,True
Inria,7,10,False
University of Florida,7,5,False
"Google DeepMind, London, UK",7,25,False
"Machine Learning Department, Carnegie Mellon University",7,6,False
"Skywork AI, Kunlun Inc.",7,42,False
State University of New York at Buffalo,7,6,False
Shanghai AI Laboratory; The University of Hong Kong,7,5,True
Li Auto Inc.,7,19,False
"Tübingen AI Center, University of Tübingen",7,12,False
"PeopleTec, Inc., Huntsville, AL",7,4,False
Aalto University,7,10,False
Lambda Labs,7,4,False
University of Sheffield,7,12,False
The University of Hong Kong; Shanghai AI Laboratory,7,10,True
"Codec Avatars Lab, Meta",7,51,False
"State Key Lab of CAD&CG, Zhejiang University",7,26,True
Multimodal Art Projection Research Community,7,14,False
"Hong Kong University of Science and Technology, China",7,18,True
OPPO AI Center,7,28,True
University of Connecticut,7,12,False
WHU,7,10,False
"Reality Labs Research, Meta",7,39,False
Qatar Computing Research Institute (QCRI),7,3,False
NVIDIA; National Taiwan University,7,4,False
"The Chinese University of Hong Kong, China",7,14,True
"Univ. Lille, Inria, CNRS, Centrale Lille, UMR 9189 - CRIStAL, F-59000 Lille, France",7,4,False
"Shanghai AI Laboratory, Shanghai, China",7,17,True
Nvidia,7,11,False
QuantaAlpha,7,17,False
Tsinghua University; Shanghai AI Lab,7,9,True
Meta AI (FAIR),7,10,False
2077AI,7,3,False
Microsoft Azure AI,7,20,False
Yandex,7,27,False
Tsinghua University; Microsoft Research Asia,7,8,True
"School of Software, Beihang University",7,9,True
ByteDance Inc,7,24,True
NVIDIA; UT Austin,7,2,False
"VCIP, School of Computer Science, Nankai University",7,13,True
HKU MMLab,7,7,False
Case Western Reserve University,7,14,False
"Fudan University, China",7,11,True
Korea University; AIGEN Sciences,7,5,False
HiDream.ai Inc.,7,8,False
"Google, USA",7,27,False
Alibaba International Digital Commerce,7,28,True
Inclusion AI,7,9,False
"Inria, Paris, France",7,9,False
"Department of Computer Science, Purdue University",7,24,False
"EPIC Lab, Shanghai Jiao Tong University",7,18,True
Generative AI Research Lab (GAIR),7,16,False
"Pattern Recognition Center, WeChat AI, Tencent Inc, China",7,17,True
Tübingen AI Center; University of Tübingen,7,4,False
Guangdong Laboratory of Artificial Intelligence and Digital Economy (SZ),7,7,False
"The Chinese University of Hong Kong, Shenzhen; Shenzhen Research Institute of Big Data",7,6,True
